# Known exchange locations (k,x,y format)
# Kingdom column allows future per-kingdom filtering
0,758,298
0,244,822
0,970,412
0,342,98
0,361,903
0,40,458
0,640,850
0,505,43
0,71,727
0,667,873
0,185,363
0,433,187
0,416,844
0,685,89
0,831,207
0,940,208
0,932,648
0,144,214
0,816,808
0,159,709
0,947,573
0,840,652
0,202,864
0,236,782
0,290,928
0,872,294
0,531,117
0,841,689
0,201,577
0,217,203
0,118,668
0,275,233
0,859,427
0,859,877
0,866,578
0,229,817
0,257,867
0,632,158
0,100,684
0,709,863
0,875,223
0,859,877
0,866,578
0,229,817
0,257,867
0,632,158
0,100,684
0,709,863
